c0f1a71 摘苹果前首先检查是否可以摘苹果
2779a16 显示总时间和剩余时间
b445025 完成时间系统
1390703 接受到的websocket消息转化为DTO
8d92a16 websocket消息的返回值通过vo返回
2ad659a GameCanvas.vue只负责直接转发 MainScene.js 的事件
7cd3bb7 使用class重构MainScene，使得代码更加清晰。这样做还有一个额外的好处，那就是由于每次都是new一个全新的对象，不再需要手动清理数据
8cd043a 修复mainScene没有加载完就开始处理事件的bug
6164569 更改文件名大小写
b445f19 前端分离出websocket模块
22c47e7 区分do，vo，dto
35fab42 后端时间系统
e6ece04 完成前端的环形计数器
836bc35 实现物品栏
15b2b72 前端显示装备栏
f87f4f8 查询玩家装备栏、物品栏的物品
ee2aca7 添加“飞翔靴”、“隐身帽”、“皮质盔甲”、“锯子”、“木棍”
3c9839d 更快的加载物品详情界面
ed5b486 玩家可以向商店以较低的价格出售商品
6031992 完成商品详情界面
87b9fdd 添加“其他”类别
e73b581 前端列出商店物品
9c2e773 完成列出商店物品的后端；更新todo
82a4c26 玩家可以使用物品，前端显示使用物品带来的属性影响
c1e727d 更新README
13c0be2 将所有文件转化为lf换行符
b469074 更新TO-DO
eb3abd4 属性增益显示＋号
f34c930 美化精灵界面
559e178 attributes、labels等从Item转移到ItemType中
eb67e06 精灵名称在展示时需要哈希
9dc2d72 显示物品详细信息
61c0576 由于git的奇妙问题，当我将图片名称从小写变为大写时，git仓库中同时存在大小写的文件。为我删除所有图片然后全部重新添加，但是导致仓库大小不可逆的变大了一倍
fac3946 由于git的奇妙问题，当我将图片名称从小写变为大写时，git仓库中同时存在大小写的文件。为我删除所有图片然后全部重新添加
b84308b 由于git的奇妙问题，当我将图片名称从小写变为大写时，git仓库中同时存在大小写的文件。为我我先试试删除所有图片
89676c2 前端按照枚举类的习惯改为大写
914adab 后端全面使用枚举类替代字符串常量
80bb32a 添加物品相关的枚举类
ccfae80 不再通过provide/inject的方式提供公共方法，而是放在myUtils.js里面
bc4a4f3 完成查看物品详细信息的后端
5c95d13 玩家可以显示自己的物品列表
89626a5 查询物品列表时同时返回物品类型和标签列表信息（但这次实验方式和以前有所不同，不是使用的join连接，而是使用in查询）
9a20dd5 分离BackpackPannel和MyInfoPannel
d0b5713 将装备栏的逻辑从BackpackPannel下放到EquipmentPannel
d7869d0 建筑不与围墙重叠
e69c97c 后端寻路时，如果有终点，那么提前几步终止，防止到达终点后因为卡进建筑而抖动
97bd041 按照重新设计的物品模块重写后端
745364d 再次重新设计物品模块的数据库表
79588e8 更新形状
ab28f15 使用插画风格的素材全面替换之前的卡通风格的素材
c307886 使linguist检测SQL
1edcc9e 使linguist检测SQL
88726cf 重新设计物品模块的设计库设计
1cda3fc update TO-DO
d22b0a2 update readme
65d3adf 狗会跟随其主人
e546b60 使用SpriteCache存储精灵的所有放在内存中的缓存信息
090959e 多个角色可以同时播放补间动画；当直接通过设置速度来移动时，终止之间的补间动画
5f6f34a 修复关于TEXT_PARTIAL_WRITING的报错
85891ee 在各个客户端之间同步速度；没有主人的狗狗随机移动
f0fec92 在玩家移动的过程中，玩家可能会下线，导致玩家被删除，但是补间动画还在继续，因此报错，因此要用try-catch包裹
bd4319f 即使因为网络问题导致ONLINE消息丢失，也会惰性地向后端寻求丢失的精灵的信息
8597588 ws断连后自动重连
a8c6f47 修复从/game退出到/时，ws没有被关闭的问题；修复从游戏界面退出到主页面随后又进入游戏界面后无法进行使用方向键的问题
7f127c1 修复从游戏界面退出到主页面随后又进入游戏界面后无法进行游戏的bug
0d69356 玩家下线时会通知其他玩家
545991c 角色上线时会通知所有其他在线玩家
66a952a 上线时只显示自己以及自己的宠物以及其他上线角色以及没有主人的角色
8a03294 提取出GameInitializer专门进行游戏初始化操作；提取出GameCache类专门存放放在内存（而非redis）中的缓存
ca47c41 增添mixin包
433b343 增加围墙宽度
ac97fb8 物品具有基础价格，不同商店同一物品的价格虽然不同，但围绕基础价格浮动；商品每天早上进货，但不同物品具有不同稀有度
ee4973e 实现购买商店商品
e3eab02 日志中记录用户名
cb54bcf 商店展示商品列表
5044426 将fetch转变为myFetch
8ba515f 完成列出商店商品信息、买入商品的后端
9194bac 修复新用户没有登录奖励的bug；玩家经过墙时不再擦过墙边缘
b61a2e3 将登录、注册、修改密码的逻辑从controller层转移到service层；用户登陆奖励
1694d95 抽象出myFetch方法；修复速度bug
146b295 使用mybatis plus重构
087d365 使用视图实现join
